id,created_at,tweet
7.18008E+17,4/7/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n#CamaraIndependente #DemocraciaForte https://t.co/pcBMeLHCwK'"
7.17699E+17,4/6/16 13:03,O esporte ajuda a desenvolver um futuro melhor para todos. #EquipeCunha #OPovoMereceRespeito https://t.co/RSwIFRi39O'
7.17646E+17,4/6/16 9:31,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n#CamaraIndependente #DemocraciaForte https://t.co/celEwUtnLC'"
7.17283E+17,4/5/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n#CamaraIndependente #DemocraciaForte https://t.co/fsJ77Whk0H'"
7.17125E+17,4/4/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/VaAqJRWL2j'
7.16974E+17,4/4/16 13:01,"A cura do Parkinson ainda n\xc3\xa3o foi alcan\xc3\xa7ada, mas a doen\xc3\xa7a \xc3\xa9 trat\xc3\xa1vel. Cuide-se. https://t.co/4iK1yIUrGo'"
7.16921E+17,4/4/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n#CamaraIndependente #DemocraciaForte https://t.co/pkoYhQVqgG'"
7.16776E+17,4/3/16 23:53,J\xc3\xa1 desafiei a provarem que tenho qualquer rela\xc3\xa7\xc3\xa3o com esta offshore e assino qualquer documento n\xc3\xa3o s\xc3\xb3 doando como autorizando quando coisa'
7.16775E+17,4/3/16 23:49,"Al\xc3\xa9m do que,nunca conheci e nem sabia da exist\xc3\xaancia da tal Mossak'"
7.16774E+17,4/3/16 23:48,"Para deixar bem claro,n\xc3\xa3o tenho qualquer rela\xc3\xa7\xc3\xa3o,direta ou indireta com a tal offshore,n\xc3\xa3o conhe\xc3\xa7o e nem nunca soube quem \xc3\xa9 o tal banqueiro'"
7.16774E+17,4/3/16 23:47,"A pr\xc3\xb3pria mat\xc3\xa9ria ressalva no texto n\xc3\xa3o ter qualquer documento ou assinatura minha,o que torna a divulga\xc3\xa7\xc3\xa3o absurda'"
7.16774E+17,4/3/16 23:45,"A mat\xc3\xa9ria traz de novo a hist\xc3\xb3ria de conta de uma offshore,atribu\xc3\xadda a mim,o que absolutamente inver\xc3\xaddico'"
7.16773E+17,4/3/16 23:44,"Boa noite a todos.Mais uma vez venho desmentir a mesma coisa j\xc3\xa1 desmentida v\xc3\xa1rias vezes,agora para rebater a mat\xc3\xa9ria de UOL,Panam\xc3\xa1 pap\xc3\xa9is'"
7.16612E+17,4/3/16 13:01,"Parab\xc3\xa9ns, Belford Roxo, pelo anivers\xc3\xa1rio. #OPovoMereceRespeito #EquipeCunha https://t.co/e7MBc5dVjQ'"
7.16038E+17,4/1/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/8rhcRWPb9s'
7.15653E+17,3/31/16 21:33,@CamaraDeputados aprova regras para localiza\xc3\xa7\xc3\xa3o de dep\xc3\xb3sitos de #agrot\xc3\xb3xicos https://t.co/IeBo1JZSsR https://t.co/EsUkMlZoAR'
7.15645E+17,3/31/16 21:02,@CamaraDeputados aprova projeto que trata de contratos de integra\xc3\xa7\xc3\xa3o https://t.co/qx0l9nlBpZ https://t.co/LYIP2v4wjr'
7.15602E+17,3/31/16 18:09,Plen\xc3\xa1rio inicia sess\xc3\xa3o de vota\xc3\xa7\xc3\xb5es; projeto sobre agropecu\xc3\xa1ria abre a pauta https://t.co/pgQYHlO2GG https://t.co/gM2Qaz8ukG'
7.15532E+17,3/31/16 13:31,A integra\xc3\xa7\xc3\xa3o nacional tem como objetivo diminuir a desigualdade social e econ\xc3\xb4mica entre as  regi\xc3\xb5es brasileiras. https://t.co/sVAnEEfoxo'
7.15471E+17,3/31/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" #CamaraIndependente #DemocraciaForte https://t.co/MH3WVILvQs'"
7.15356E+17,3/31/16 1:50,@CamaraDeputados aprova aumento de pena para dano ao patrim\xc3\xb4nio do Distrito Federal https://t.co/6aaD0IcFTC https://t.co/ZVLwhLB50r'
7.15318E+17,3/30/16 23:20,Aprovado projeto que exige informa\xc3\xa7\xc3\xa3o sobre #lactose e #case\xc3\xadna em r\xc3\xb3tulo de alimentos https://t.co/ZTQyc38qoZ https://t.co/VMDq7DdzdD'
7.15304E+17,3/30/16 22:26,@CamaraDeputados aprova aumento da pena para o crime de feminic\xc3\xaddio https://t.co/1cZbOKeInO https://t.co/fOwpLWSJgJ'
7.15109E+17,3/30/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" #CamaraIndependente #DemocraciaForte https://t.co/KV1PhdlaUI'"
7.14959E+17,3/29/16 23:33,Plen\xc3\xa1rio da @CamaraDeputados aprova projeto sobre combate \xc3\xa0 viol\xc3\xaancia contra mulheres https://t.co/j6UQfRmpAa https://t.co/077DEJL2E5'
7.14915E+17,3/29/16 20:41,Plen\xc3\xa1rio da @CamaraDeputados aprova parecer sobre MP que destina verba a minist\xc3\xa9rios https://t.co/BVqsF2jvaf https://t.co/ZTHNjHsg6J'
7.14903E+17,3/29/16 19:52,Plen\xc3\xa1rio inicia Ordem do Dia com an\xc3\xa1lise de MP que abre cr\xc3\xa9dito extra a minist\xc3\xa9rios https://t.co/IyuVXwnv7J https://t.co/9ax453UL04'
7.14747E+17,3/29/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" #CamaraIndependente #DemocraciaForte https://t.co/mjqwaM4j0E'"
7.14588E+17,3/28/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/pMNKrWErNr'
7.14445E+17,3/28/16 13:31,"Parab\xc3\xa9ns, Campos dos Goytacazes, pelo anivers\xc3\xa1rio! \n#OPovoMereceRespeito #EquipeCunha https://t.co/DRejYxmcvE'"
7.14384E+17,3/28/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" \n#CamaraIndependente #DemocraciaForte https://t.co/Ep4Q5J8dH1'"
7.14381E+17,3/28/16 9:19,"Mais uma vez,desafio a provarem qualquer relacao minha de qualquer natureza com essas contas'"
7.14381E+17,3/28/16 9:18,"A materia e irresponsavel,com ilacao de relacao inexistente.Buscarei na justica o direito a resposta ou a reparacao'"
7.14381E+17,3/28/16 9:17,"Nao fiu procurado,nem diretamente e bem pela assessoria,ja publicamente ofereci procuracao para doar o que teria dessas contas'"
7.1438E+17,3/28/16 9:15,Desafio a provarem qualquer relacao minha com essa e as demais constantes de materia de O Globo'
7.1438E+17,3/28/16 9:15,"Quero desmentir com veemencia materia de O. Globo de hj,me atribuindo relacao com conta e escritorio de advocacis'"
7.1438E+17,3/28/16 9:14,Bom dia a todos'
7.14082E+17,3/27/16 13:30,"Desejo a todos um domingo aben\xc3\xa7oado, com toda sua fam\xc3\xadlia. Que Deus aben\xc3\xa7oe a todos. https://t.co/bnIBrNtMo6'"
7.14022E+17,3/27/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" \n#CamaraIndependente #DemocraciaForte https://t.co/dsSwp5gYwu'"
7.13501E+17,3/25/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/pAUNgS86yC'
7.13297E+17,3/25/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" \n\n#CamaraIndependente #DemocraciaForte https://t.co/srL7GB8n63'"
7.12935E+17,3/24/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n#CamaraIndependente #DemocraciaForte https://t.co/mcpBPjxp06'"
7.12745E+17,3/23/16 20:58,C\xc3\xa2mara aprova cirurgia pl\xc3\xa1stica reparadora gratuita nas duas mamas em caso de c\xc3\xa2ncer https://t.co/IGoGsGyTAN https://t.co/VVmPuEhTMl'
7.12572E+17,3/23/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" \n\n#CamaraIndependente #DemocraciaForte https://t.co/I17GZdUgEG'"
7.12471E+17,3/23/16 2:47,@CamaraDeputados aprova em 1\xc2\xba turno aumento de gastos m\xc3\xadnimos para sa\xc3\xbade https://t.co/h8iU6d32fK https://t.co/juNrIoUJ07'
7.12399E+17,3/22/16 22:04,Plen\xc3\xa1rio da @CamaraDeputados aprova inclus\xc3\xa3o do TST entre os \xc3\xb3rg\xc3\xa3os do Poder Judici\xc3\xa1rio https://t.co/l7yiML2Kwe https://t.co/LnMY7s6X4P'
7.12342E+17,3/22/16 18:14,"Plen\xc3\xa1rio da @CamaraDeputados aprova libera\xc3\xa7\xc3\xa3o de R$ 1,3 bilh\xc3\xa3o para sete minist\xc3\xa9rios https://t.co/wbE9Xq80A1 https://t.co/jZyeWTNHDC'"
7.12322E+17,3/22/16 16:56,Plen\xc3\xa1rio aprova MP que amplia puni\xc3\xa7\xc3\xa3o para a interrup\xc3\xa7\xc3\xa3o de vias p\xc3\xbablicas https://t.co/n4ovOPGmG0 https://t.co/UebOhNNMAq'
7.1227E+17,3/22/16 13:31,O uso racional e preserva\xc3\xa7\xc3\xa3o s\xc3\xa3o fundamentais para garantir qualidade de vida para a nossa gera\xc3\xa7\xc3\xa3o e as futuras. https://t.co/wycE7Nfeaw'
7.1221E+17,3/22/16 9:31,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" \n\n#CamaraIndependente #DemocraciaForte https://t.co/uBN5jlcTGg'"
7.12052E+17,3/21/16 23:02,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/R93PWWjHH8'
7.11976E+17,3/21/16 18:02,"Toda crian\xc3\xa7a merece ser crian\xc3\xa7a. Toda crian\xc3\xa7a tem direito a ter liberdade, a viver em um ambiente familiar. https://t.co/pTkuTf3WfN'"
7.11908E+17,3/21/16 13:31,"O racismo \xc3\xa9 uma viola\xc3\xa7\xc3\xa3o dos direitos humanos e da dignidade humana, e no Brasil \xc3\xa9 crime. #OPovoMereceRespeito https://t.co/Q8Fq7zlxGv'"
7.11848E+17,3/21/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas."" \n\n#CamaraIndependente #DemocraciaForte https://t.co/WxwhQvFJjh'"
7.10964E+17,3/18/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/JIBRB47L7r'
7.1076E+17,3/18/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/GDnRAfZmoC'"
7.1064E+17,3/18/16 1:30,"Parab\xc3\xa9ns, Rio das Flores, pelo anivers\xc3\xa1rio! #OPovoMereceRespeito #EquipeCunha https://t.co/mRz08BSWvs'"
